Telco Domain Risk Summary — Per-Domain Risk Score Calculation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Each carrier rolled up from its subdomain-level V5 scores. MAX pillars = worst subdomain per pillar (operational view). Final Risk Score (Max) = max of subdomain composites; Final Risk Score (Avg) = mean across all subdomains.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rank;Domain;Subdomains;KEV Hosts;EPSS Hosts;Any-CVE Hosts;Weak DMARC Hosts;Weak SPF Hosts;Dangling CNAME Hosts;Int IP Exposed Hosts;SSH Hosts;FTP Hosts;MySQL Hosts;Postgres Hosts;RDP Hosts;SNMP Hosts;XSS Hosts;SSRF Hosts;SQLi Hosts;P1 CVE (Max);P2 Email (Max);P3 Infra (Max);P4 Web (Max);P5 Surface (Max);P1 CVE (Avg);P2 Email (Avg);P3 Infra (Avg);P4 Web (Avg);P5 Surface (Avg);Max Penalty;Final Risk Score (Max);Max Band;Final Risk Score (Avg);Avg Band;Worst Subdomain;FRN;holding_company;Registered Name;Company Name;city;state;Domain;# Employees;Private or Public;Aquired or Not;Annual Revenue;Founded Year;WISP or Cable;Principal_Communications_Type;Chief_Executive_Officer
365;agilenetworks.com;5;1;1;1;0;0;0;0;1;2;2;0;0;0;0;1;0;94,2;0;100;50;73,6;18,8;0;33;10;28,3;5,0;95,0;Critical;31,7;Medium;agilenetworks.com;20914594;;Agile Networks, LLC;Agile;Prospect Park;PA;agilenetworks.com;11 to 50;Private;Acquired by UP Fiber, Inc.;$1 million to $5 million;2010;WISP;Interconnected VoIP;Jordan Hullman
366;aksenterprise.com;12;4;1;4;1;1;2;0;0;0;0;0;0;0;3;2;2;100;90;0;100;27,5;28,8;7,5;0;24,2;18,3;5,0;95,0;Critical;46,8;Medium;aksenterprise.com;26189522;;AKS Enterprise;AKS Enterprise;Park Ridge;IL;aksenterprise.com;5 to 50;Private;I do not have enough information to determine if AKS Enterprise has been acquired. The provided table only includes the company name, location, and domain. To answer this query, I would need access to acquisition status or ownership records.;$1 million to $10 million;2004;NA;Interconnected VoIP;Andrew Sztukowski
367;aldtelecom.com;14;2;2;3;1;1;0;0;10;11;2;0;0;0;1;1;0;100;90;100;80;73,6;18,1;6,4;63,2;5,7;37,5;5,0;95,0;Critical;60,4;High;aldtelecom.com;17676040;;ALD Telecom, LLC.;ALD Telecom;Scottsdale;AZ;aldtelecom.com;11 to 50;Private;Based on the provided documents, there is no information indicating that ALD Telecom has been acquired. Source 3 describes it as an unfunded company that has not raised any funding yet.;$1 million to $10 million;2008;NA;Interexchange Carrier (IXC);Mark Yarbrough
368;alta-tec.net;10;2;2;2;1;1;0;0;1;3;3;2;0;0;0;0;0;100;90;100;0;76,1;19,4;9;30;0;27,6;5,0;95,0;Critical;47,3;Medium;cpanel.alta-tec.net;5093018;ALTA MUNICIPAL UTILITIES;Alta Municipal Utilities;Alta Municipal Utilities;Alta;IA;alta-tec.net;100 - 200;Public;Not acquired;$10 Million - $50 Million;1895;Cable;CAP/LEC;Mitch Langschwager
369;ardmore.net;61;2;1;3;1;1;0;0;3;2;0;0;0;4;2;0;2;100;90;55;100;54,9;3,7;1,5;5,2;3,1;10,6;5,0;95,0;Critical;12,3;Low;ftp.ardmore.net;1772888;West Kentucky Rural Telephone;Ardmore Telephone Company, Inc.;Ardmore Telephone Company;Mayfield;KY;ardmore.net;11 to 50;Private;Acquired by NewWave Communications;$1 million to $5 million;1954;NA;Incumbent Local Exchange Carrier;Karen Jackson-Furman
370;azairnet.com;7;2;2;2;0;1;0;0;0;1;2;0;0;1;1;3;0;100;40;65;95;64,1;28,6;5,7;18,6;34,3;30,2;5,0;95,0;Critical;42,9;Medium;azairnet.com;4296356;;Az Airnet;Az Airnet;Tempe;AZ;azairnet.com;11 to 50;Private;I do not have enough information to answer the query. The provided context mentions AZ Airnet's plans, pricing, and coverage areas (Wickenburg, Congress, Kirkland, Skull Valley, and Yarnell), but it does not contain any information regarding whether the company has been acquired.;$1 million - $5 million;1978;WISP;Other Local;Wayne Markis
371;becfiber.com;15;1;1;1;0;0;0;5;4;1;0;0;0;0;0;0;0;100;0;55;20;57,6;6,7;0;16,3;6,7;16,8;5,0;95,0;Critical;23,6;Low;webmail.becfiber.com;;;;;;;;;;;;;;;
372;channelnetworksinc.com;5;1;1;2;0;1;0;0;1;1;0;0;0;0;0;1;1;100;40;80;60;44,8;24,8;8;16;22;31;5,0;95,0;Critical;50,6;High;m.channelnetworksinc.com;25458753;;Channel Networks, Inc.;Channel;Coral Springs;FL;channelnetworksinc.com;5;Private;Acquired by UP Fiber, Inc.;$1 million - $5 million;2007;WISP;Interconnected VoIP;Dennis Parker
373;computerbrilliance.com;5;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;100;40;0;0;27,5;20;8;0;0;22;5,0;95,0;Critical;31,7;Medium;voip.computerbrilliance.com;27555689;;Computer Brilliance Inc;Computer Brilliance;Hattiesburg;MS;computerbrilliance.com;05-Oct;Private;Not acquired;$1 million - $5 million;2007;NA;Interconnected VoIP;Jeremy Graves
374;datacruz.com;58;2;1;2;0;0;0;0;0;37;0;0;0;0;1;0;0;100;0;25;30;59,9;3,2;0;15,9;0,5;39,5;5,0;95,0;Critical;28,7;Medium;call.datacruz.com;29476926;;Datacruz Internet;Datacruz Internet;Mishawaka;IN;datacruz.com;02-Oct;Private;Not acquired;Less than $1 million;1996;WISP;Other Local;John Pierce
375;dialtopia.com;14;1;1;1;0;0;0;0;3;3;1;0;0;0;1;0;0;94,5;0;100;30;67,7;6,8;0;18,6;2,1;19,2;5,0;95,0;Critical;21,2;Low;dialtopia.com;24987109;;Dialtopia LP;Dialtopia LP;San Rafael;CA;dialtopia.com;01-Oct;Private;Not Acquired;$1-5 million;2011;NA;Local Reseller;Daniel Stevens
376;fiberfed.com;19;4;3;5;0;0;0;0;0;0;0;0;0;0;0;1;1;100;0;0;60;44,8;21,7;0;0;5,8;30;5,0;95,0;Critical;35,0;Medium;speedtest.fiberfed.com;29192143;;FIBERFED;FIBERFED;Lantana;TX;fiberfed.com;Nov-50;Private;Not Acquired;$1-5 million;2019;WISP;Private Service Provider;Mark Monteleone
377;fishercc.com;14;1;2;2;1;1;0;0;1;1;1;0;0;0;1;0;0;100;90;100;30;70,8;12,1;6,4;7,1;2,1;17,4;5,0;95,0;Critical;24,6;Low;phone.fishercc.com;25471715;;Fisher Computer Consulting Inc;Fisher Computer Consulting;Rancho Cucamonga;CA;fishercc.com;01-Oct;Private;I do not have enough information to answer this query. The provided search results discuss acquisitions involving Fisher's Technology (an Idaho-based office equipment provider) and Fisher Unitech (a manufacturing technology provider), but they do not contain information regarding the acquisition status of Fisher Computer Consulting in Rancho Cucamonga, CA.;$1-5 million;2002;WISP;Interconnected VoIP;Michael Fisher
378;gtxcommunications.com;18;1;1;1;0;1;1;0;4;0;0;0;0;0;1;4;0;100;40;55;80;74,9;5,6;2,2;12,2;14,4;23;5,0;95,0;Critical;24,3;Low;gtxcommunications.com;31374077;;GTX Communications LLC;GTX Communications;Liberty;MO;gtxcommunications.com;01-Oct;Private;Not Acquired;$1-5 million;2011;NA;Interconnected VoIP;John Rousseau
379;armtel.com;5;2;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;100;50;0;30;27,5;35,7;10;0;6;11;5,0;95,0;Critical;40,5;Medium;www.armtel.com;37081023;ARMRTEL LLC;ARMRTEL LLC;ARMRTEL;Austin;TX;armtel.com;51-200;Private;I do not have enough information to determine if ARMRTEL has been acquired. The provided text details their services, partners (Cisco, IBM, Microsoft, etc.), and business divisions, but does not mention an acquisition.;$10-50 million;2004;NA;Interconnected VoIP;ASIR MUSTAFA
380;calltools.com;13;2;1;4;0;0;0;0;2;7;7;7;0;0;3;5;0;84;0;100;80;85,8;20,4;0;62,3;26,2;51,5;5,0;95,0;Critical;68,4;High;calltools.com;29683513;;Call Tools Inc;Call Tools;Irvine;CA;calltools.com;51-200;Private;"I do not have enough information to determine if The Telephone Man in Centennial, CO has been acquired. The search results discuss the acquisition of Telephonics Corporation by TTM Technologies and songs titled ""Telephone Man"" or ""Mr. Telephone Man,"" but they do not contain information about the specific company ""The Telephone Man.""";$10-50 million;2014;NA;Interconnected VoIP;Daniel Bernal
381;columbusnetworks.com;9;2;0;2;0;0;1;0;3;9;6;0;0;0;2;2;5;80,1;0;80;100;72,3;17,8;0;70;42,2;63,9;5,0;95,0;Critical;62,1;High;columbusnetworks.com;15487325;Liberty Latin America Ltd;ARCOS-1 USA, Inc.;ARCOS-1 USA;North Miami Beach;FL;columbusnetworks.com;129;Private;I do not have enough information to answer the query. The provided text mentions acquisitions of the American Telephone Company and the Bell Telephone Company, but does not contain information regarding the acquisition status of The Telephone Company based in Westchester, IL.;29.8M;1999;Cable;Private Service Provider;Paul Scott
382;emilytel.com;10;1;1;1;0;0;2;0;0;1;0;0;0;0;0;1;0;100;0;25;50;34,7;10;0;2,5;11;17,2;5,0;95,0;Critical;22,4;Low;2997e2777x.emilytel.com;3788940;;Emily Cooperative Telephone Company;Emily Cooperative Telephone Company;Emily;MN;emilytel.com;Nov-25;Private;"I do not have enough information to determine if The Telephone Man in Centennial, CO has been acquired. The search results discuss the acquisition of Telephonics Corporation by TTM Technologies and songs titled ""Telephone Man"" or ""Mr. Telephone Man,"" but they do not contain information about the specific company ""The Telephone Man.""";5M - 10M;1951;NA;Incumbent Local Exchange Carrier;Norman Hawley
383;mhtelecom.com;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;27,5;25;0;0;0;6,9;5,0;95,0;Critical;23,8;Low;stats.mhtelecom.com;4318929;MOUNT HOREB TELEPHONE COMPANY;MH Telecom, LLC;MH Telecom;Mount Horeb;WI;mhtelecom.com;Nov-50;Private;"I do not have enough information to determine if The Telephone Man in Centennial, CO has been acquired. The search results discuss the acquisition of Telephonics Corporation by TTM Technologies and songs titled ""Telephone Man"" or ""Mr. Telephone Man,"" but they do not contain information about the specific company ""The Telephone Man.""";<5M;1919;WISP;CAP/LEC;John Van Ooyen
384;sstelco.com;49;2;6;6;1;1;0;0;0;5;1;1;0;0;0;0;0;100;90;100;0;59,9;8,5;1,8;4,1;0;16,3;5,0;95,0;Critical;17,2;Low;bullhollow.sstelco.com;3709458;;Salina Spavinaw Telephone Co. Inc.;Salina Spavinaw Telephone;Salina;OK;sstelco.com;25-50;Private;I do not have enough information to determine if Salina Spavinaw Telephone has been acquired. The provided text mentions it is the largest commercial employer in Salina, Oklahoma, but does not list any acquisition details. If you have a specific news article or document regarding a sale, please provide it.;$5-10 million;1945;NA;Incumbent Local Exchange Carrier;Dalton Burchett
385;threelanterns.net;6;1;1;1;0;1;0;0;3;0;0;0;0;0;0;2;1;95,6;40;55;100;64,1;15,9;6,7;27,5;25;40,6;5,0;95,0;Critical;38,9;Medium;threelanterns.net;32368599;;Three Lanterns;Three Lanterns;Columbus;OH;threelanterns.net;01-Oct;Private;Aquired by Dispatch Energy;Less than $1 million;2017;WISP;Operator Service Provider (OSP);Seth Jackson
386;vertisys.com;35;1;1;1;0;1;4;0;0;0;0;0;0;0;0;0;1;100;40;0;90;59,9;2,9;1,1;0;5,1;9,9;5,0;95,0;Critical;12,3;Low;voipinfo.vertisys.com;32209868;;Vertisys LLC;Vertisys;Smyrna;GA;vertisys.com;Nov-50;Private;"I do not have enough information to determine if The Telephone Man in Centennial, CO has been acquired. The search results discuss the acquisition of Telephonics Corporation by TTM Technologies and songs titled ""Telephone Man"" or ""Mr. Telephone Man,"" but they do not contain information about the specific company ""The Telephone Man.""";$1-5 million;1993;WISP;Interconnected VoIP;Matt Baldwin
387;voicevalley.com;9;1;1;1;0;1;0;0;4;1;0;0;0;1;0;4;1;100;40;80;100;48,6;11,1;4,4;30;27,8;33,4;5,0;95,0;Critical;39,4;Medium;voicevalley.com;30004212;;VOICEVALLEY INC;VOICEVALLEY;Mililani;HI;voicevalley.com;11 to 50;Private;I do not have enough information to answer the query. The provided text mentions acquisitions of the American Telephone Company and the Bell Telephone Company, but does not contain information regarding the acquisition status of The Telephone Company based in Westchester, IL.;$1 million to $10 million;2010;NA;Interconnected VoIP;ANTHONY STICHA
388;wpsok.com;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;34,7;33,3;0;0;0;29,9;5,0;95,0;Critical;44,9;Medium;wpsok.com;11653508;;WPS, Inc.;WPS;Ada;OK;wpsok.com;51 - 200;Private;"I do not have enough information to determine if The Telephone Man in Centennial, CO has been acquired. The search results discuss the acquisition of Telephonics Corporation by TTM Technologies and songs titled ""Telephone Man"" or ""Mr. Telephone Man,"" but they do not contain information about the specific company ""The Telephone Man.""";500M;1960;WISP;Interconnected VoIP;Bruce Jones
389;atvc.net;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;27,5;25;0;0;0;27,5;5,0;95,0;Critical;36,9;Medium;atvc.net;3746898;;Allen's T.V. Cable Service, Inc.;Allen's T.V. Cable Service;Morgan City;LA;atvc.net;20;Private;I do not have enough information in the provided data to determine if Allen's T.V. Cable Service has been acquired. The search results discuss the acquisition of television stations from Byron Allen's Allen Media Group by Gray Media, but do not mention this specific cable service company.;Less than $5 million;;Cable;Interconnected VoIP;Gregory Price
390;nutelecom.net;29;1;3;3;1;1;0;0;4;1;0;0;0;1;0;0;0;100;90;55;0;54,9;8,1;3,1;9,3;0;20,6;5,0;95,0;Critical;21,5;Low;webmail.nutelecom.net;3740008;Nuvera Communications, Inc.;Western Telephone Company;Western Telephone Company;New Ulm;MN;nutelecom.net;150 - 250;Public;I do not have enough information to answer the query. The provided text mentions acquisitions of the American Telephone Company and the Bell Telephone Company, but does not contain information regarding the acquisition status of The Telephone Company based in Westchester, IL.;64.9M;1905;Cable;Incumbent Local Exchange Carrier;Glenn Zerbe
391;parseccomputer.com;12;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;100;0;0;50;27,5;8,3;0;0;4,2;25,2;5,0;95,0;Critical;24,0;Low;voip.parseccomputer.com;24394918;;Parsec Computer;Parsec Computer;Yakima;WA;parseccomputer.com;Jan-50;Private;Acquired by Unity Technologies;$1-5 million;1982;NA;Interconnected VoIP;Richard Dibbert
392;almanet.net;8;2;1;2;1;0;1;0;0;2;0;0;0;0;1;0;1;100;50;25;100;59,9;22,9;6,2;6,2;12,5;26,2;5,0;95,0;Critical;33,2;Medium;almanet.net;7196207;ALMA COMMUNICATIONS COMPANY;Alma Telephone Company;Alma Telephone Company;Alma;MO;almanet.net;20 to 25;Private;Acquired by LiveOak Fiber (fiber network assets in Glynn and Camden counties);$1 million to $10 million;1912;WISP;Incumbent Local Exchange Carrier;Dennis Rolf
393;atcbroadband.com;43;3;3;6;0;1;2;0;0;0;0;0;0;0;3;2;1;100;40;0;90;40,2;9;0,9;0;7,2;13,3;5,0;95,0;Critical;16,6;Low;announcement.atcbroadband.com;4334934;Alma Telecom, Inc.;Alma Telephone Company, Inc.;Alma Telephone Company;Alma;GA;atcbroadband.com;25 to 35;Private;Not Acquired;$1 million to $10 million;1939;Cable;Incumbent Local Exchange Carrier;Theodore Solomon
394;bcctv.com;5;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;1;94,2;40;100;90;76,1;18,8;8;20;28;36,1;5,0;95,0;Critical;33,8;Medium;ftp.bcctv.com;20136552;;Bay Country Communications;Bay Country Communications;Cambridge;MD;bcctv.com;15 to 30;Private;Acquired by Choptank Fiber LLC;$3 million to $7 million;1989;Cable;Cable TV provider of local exchange;Jeff Shilling
395;chickamauga.com;21;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;100;40;95;30;59,9;4,8;1,9;4,5;1,4;10,7;5,0;95,0;Critical;11,0;Low;mail.chickamauga.com;1856483;FAIL INC;Chickamauga Telephone Corp.;Chickamauga Telephone;Bay Springs;MS;chickamauga.com;50 - 100 employees;Private;Chickamauga Telephone Corporation is a wholly owned subsidiary of Fail Telecommunications Corporation and rebranded to Arriva Connect in 2024.;$10 Million - $50 Million;1923;NA;Incumbent Local Exchange Carrier;Christa Alexander
396;ctsomerset.com;18;2;2;5;0;0;2;0;3;0;0;0;0;0;2;1;1;100;0;55;90;40,2;15,4;0;9,2;12,8;21,4;5,0;95,0;Critical;30,1;Medium;voip.ctsomerset.com;34754788;;Connected Technologies;Connected;Somerset;KY;ctsomerset.com;Not available;Private;I do not have enough information to determine if the company Connected based in Somerset, KY, has been acquired. The search results mention a space tech startup named Connected based in Portugal that was acquired by Open Cosmos, and a product design firm named Connected based in Toronto that was acquired by Thoughtworks, but neither matches the specific company located in Somerset, KY.;Not available;;NA;Interconnected VoIP;Derek Denney
397;dataccesspr.com;5;3;3;4;1;1;0;0;1;0;0;0;1;0;0;1;0;100;90;70;50;64,1;70;18;25;10;43,9;5,0;95,0;Critical;81,1;Critical;dataccesspr.com;18384016;;Data @ccess Communication, Inc.;Data @ccess Communication;San Juan;PR;dataccesspr.com;Nov-50;Private;I do not have enough information to answer the query. The provided search results discuss the acquisitions of companies named Access Distribution, Access Data Corp, AccessPlus Communications, and Access Information Management, but none of the documents mention Data @ccess Communication or its domain dataccesspr.com.;$1-5 million;2004;WISP;Interconnected VoIP;Edward Amador
398;fibermefast.com;20;4;1;4;0;1;0;0;0;1;0;0;0;0;2;0;1;100;40;25;90;48,6;16,9;2;1,2;6;30,1;5,0;95,0;Critical;32,0;Medium;dev.fibermefast.com;3720984;CAMBRIDGE TELCOM INC;Cambridge Telephone Company;Cambridge Telephone Company;Geneseo;IL;fibermefast.com;55;Private;Not acquired;$10 million - $25 million;1957;NA;Incumbent Local Exchange Carrier;Mike McClain
399;foremosttelecom.com;7;1;1;3;0;1;0;0;0;4;4;0;1;0;1;1;1;88,9;40;100;60;72,3;22,4;5,7;42,1;20;52,1;5,0;95,0;Critical;47,8;Medium;newsite.foremosttelecom.com;10601185;;Foremost Telecommunications;Foremost Telecommunications;Dallas;TX;foremosttelecom.com;Nov-50;Private;Based on the provided information, Foremost Telecommunications is an unfunded company and has not been acquired.;$1-5 million;2002;NA;CAP/LEC;Lawrence Halcomb
400;gcmuni.net;13;1;2;2;1;0;0;0;4;0;0;0;0;0;1;1;0;100;50;55;50;48,6;13,5;3,8;16,9;6,2;31,3;5,0;95,0;Critical;33,2;Medium;ns2.gcmuni.net;2565059;;Grundy Center Municipal Utilities;Grundy Center Municipal Utilities;Grundy Center;IA;gcmuni.net;11 to 50;Private;Not acquired;$1 million - $5 million;1904;Cable;CAP/LEC;Jeff Carson
401;magtel.com;9;2;1;6;0;1;0;0;0;1;0;0;0;0;1;0;0;100;40;25;30;66;32,3;4,4;2,8;3,3;28,5;5,0;95,0;Critical;33,2;Medium;billpay.magtel.com;4287538;;Magazine Telephone Company;Magazine Telephone Company;Magazine;AR;magtel.com;21-50;Private;I do not have enough information to determine if Magazine Telephone Company has been acquired. The provided search data discusses acquisitions of other telecommunications and media companies, such as Time Warner, Pennsylvania Telephone Company, and Shoreham Telephone Company, but does not mention Magazine Telephone Company.;$5-10 million;1939;WISP;Incumbent Local Exchange Carrier;Chris STONE
402;onesourcecom.com;7;3;3;3;0;0;0;0;0;0;0;0;0;0;1;1;0;100;0;0;50;66;40,1;0;0;11,4;27;5,0;95,0;Critical;48,3;Medium;reports.onesourcecom.com;4341541;;OneSource Communications;OneSource Communications;Fort Worth;TX;onesourcecom.com;201 to 500;Private;Acquired by Ubiquity Management, LP;$25 million to $100 million;1996;Cable;CAP/LEC;Jamie Earp
403;telalaska.com;52;2;2;2;2;2;3;0;0;6;4;4;0;0;0;0;0;100;90;100;30;66;3,8;3,5;8,7;1,7;11,9;5,0;95,0;Critical;16,9;Low;ftp.telalaska.com;3740768;American Broadband Holding Company;TelAlaska Cellular, Inc;TelAlaska Cellular;Overland Park;KS;telalaska.com;201-500;Private;Acquired by American Broadband (now Fastwyre Broadband) and subsequently acquired by Anacoco Capital Partners, LLC.;$50 million - $100 million;1968;Cable;Cellular/PCS/SMR;Chris Eldredge
404;zirkel.us;12;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;100;50;40;30;66;8,3;4,2;3,3;2,5;23,2;5,0;95,0;Critical;24,4;Low;zirkel.us;12579652;;ZIRKEL;ZIRKEL;Steamboat Springs;CO;zirkel.us;01-Oct;Private;I do not have enough information to determine if ZIRKEL (zirkel.us) based in Steamboat Springs, CO, has been acquired. The search results mention other entities with similar names, such as ZIRKEL Technologies GmbH and ZIRKEL ACQUISITION CORP LLC, but do not provide acquisition details for the specific company in Steamboat Springs.;$1-5 million;2001;WISP;Interconnected VoIP;Alan Belvo
405;bwt.io;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;100;40;0;0;27,5;100;40;0;0;27,5;5,0;95,0;Critical;95,0;Critical;bwt.io;8104507;Voxology Group, Inc.;Baltimore-Washington Telephone Company;Baltimore-Washington Telephone Company;Newark;DE;bwt.io;01-Oct;Private;Acquired by Uptown Moose, Inc.;$1;1991;NA;CAP/LEC;Justin Newman
406;calllogistics.com;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;27,5;100;0;0;0;27,5;5,0;95,0;Critical;95,0;Critical;calllogistics.com;35825470;;Call Logistics INC;Call Logistics;Eastpointe;MI;calllogistics.com;Nov-50;Private;I do not have enough information to determine if Call Logistics INC, based in Eastpointe, MI, has been acquired. The search results mention a Pakistan-based company called Call Courier being acquired by PostEx, and a company called Callbox Logistics acquiring JMC Global, but neither of these appear to be the Michigan-based Call Logistics INC.;$1M-$5M;2017;NA;Interconnected VoIP;TALHA KHAN
407;jtmenterprises.com;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;27,5;100;0;0;0;27,5;5,0;95,0;Critical;95,0;Critical;jtmenterprises.com;31133044;;JTM Enterprises;JTM Enterprises;Henderson;NV;jtmenterprises.com;Nov-50;Private;I do not have enough information to determine if JTM Enterprises (jtmenterprises.com) has been acquired. The search results provide information on the acquisition of JTM Foods (JJ's Bakery) by Tenex Capital Management and JTM Training Group by North American Rescue, but none refer to the acquisition of JTM Enterprises based in Henderson, NV.;$10.1M-$25M;2016;NA;Local Reseller;Thomas Merryman
408;mtctel.com;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;100;50;0;0;27,5;100;50;0;0;27,5;5,0;95,0;Critical;95,0;Critical;mtctel.com;4984837;MARGARETVILLE TELEPHONE COMPANY;MTC Cable;MTC Cable;Margaretville;NY;mtctel.com;3;Private;Acquired by the Margaretville Telephone Company Employee Stock Ownership Plan (ESOP);Approximately;1916;Cable;Interconnected VoIP;Larry Roadman
409;tele1ten.com;2;2;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;100;0;0;30;27,5;91;0;0;30;27,5;5,0;95,0;Critical;86,0;Critical;tele1ten.com;31671225;;Tele1Ten;Tele1Ten;Denver;CO;tele1ten.com;Nov-50;Private;I do not have enough information to determine if Tele1Ten has been acquired. The search results provide information on other Denver-based acquisitions involving companies like CoreSite, Nexstar, and Duquesne Light Holdings, but none refer to the acquisition of Tele1Ten.;$1 million - $5 million;2004;NA;Interconnected VoIP;hamed hanifi
410;tsi.io;13;2;2;3;0;1;0;1;1;0;3;0;0;0;1;0;0;100;40;95;30;44,8;18,8;3,1;13,5;3,8;19,8;5,0;95,0;Critical;28,0;Medium;talk.tsi.io;23311889;;Treasure State Internet & Telegraph;Treasure State Internet & Telegraph;Helena;MT;tsi.io;Nov-50;Private;Aquired and sold to a new owner in 2024, though the name of the specific individual or entity was not disclosed.;$3.8M;2013;WISP;Other Local;Eric Fulton
411;reach4com.com;16;4;3;5;1;1;0;1;4;1;0;0;0;1;2;1;0;100;90;100;50;59,9;27,3;5,6;16,6;8,1;27,4;5,0;95,0;Critical;44,0;Medium;voice.reach4com.com;5782289;;Gonthier, Inc.;Gonthier;Crowley;LA;reach4com.com;11 to 35;Private;Acquired by 4Com;$2 million to $5 million;1990;WISP;Interconnected VoIP;Karen McBride
412;readytelecom.com;13;1;2;2;1;1;0;0;2;2;0;0;0;0;0;0;0;100;90;80;0;54,9;11,8;6,9;12,3;0;27;5,0;95,0;Critical;35,8;Medium;voip.readytelecom.com;7529373;;Ready Telecom, Inc.;Ready Telecom;Ashboro;NC;readytelecom.com;Nov-50;Private;I do not have enough information to determine if Ready Telecom (readytelecom.com) has been acquired. The search results mention the acquisition of Ready Engineering by Shermco Industries and the existence of a startup called Ready.net, but neither of these refer to Ready Telecom, Inc. based in Ashboro, NC.;$1M-$5M;1995;NA;CAP/LEC;Al LaPrade
413;relianceconnects.com;17;3;1;3;1;1;1;0;1;0;0;0;0;1;2;0;2;100;90;55;100;44,8;15,6;5,3;4,7;11,2;14,4;5,0;95,0;Critical;27,7;Medium;mail.relianceconnects.com;3716255;DAY MANAGEMENT CORPORATION;Cascade Utilities, Inc.;Cascade Utilities;Estacada;OR;relianceconnects.com;55;Private;I do not have enough information to determine if Cascade Utilities, Inc. (relianceconnects.com) based in Estacada, OR has been acquired. The search results provide information on other companies with similar names, such as Cascade Natural Gas (acquired by MDU Resources Group), Cascade Poly Pipe & Conduit (acquired by Atkore Inc.), and Cascade Energy, but none refer to Cascade Utilities, Inc. or Reliance Connects.;$10 million - $25 million;1953;NA;Incumbent Local Exchange Carrier;Brooke Wheeler
414;renvvostudio.com;10;3;0;3;0;1;0;0;9;9;9;0;0;0;3;0;3;84,4;40;100;90;70,8;24,5;4;90;27;56,8;5,0;95,0;Critical;82,5;Critical;mail.renvvostudio.com;37279890;;RENVVO STUDIO;RENVVO STUDIO;JACKSON;MS;renvvostudio.com;Nov-50;Private;I do not have enough information to determine if RENVVO STUDIO has been acquired. The search results do not provide any information regarding an acquisition of this company.;$1M-$5M;2024;NA;Interconnected VoIP;GEORGE PERKINS
415;revoamerica.com;17;1;1;1;1;0;0;0;1;1;0;0;1;0;1;2;0;100;50;80;50;66;5,9;2,9;8,8;7,6;33,3;5,0;95,0;Critical;28,7;Medium;dashboard.revoamerica.com;37564796;;REVO MANAGED SERVICES, LLC;REVO MANAGED SERVICES;Rogers;AR;revoamerica.com;Nov-50;Private;I do not have enough information to determine if REVO MANAGED SERVICES, LLC (revoamerica.com), based in Rogers, AR, has been acquired. The search results provide information on several other companies named Revo, including ReeVo (a European MSSP), Revo Hospitality Group (formerly HR Group), REVO Insurance S.p.A., Revo Health, and RevoPay, but none of these entities appear to be the managed services company located in Arkansas.;$1 million - $10 million;2008;NA;Interconnected VoIP;Nick Dozier
416;scattercreek.com;52;5;2;8;1;1;1;0;6;2;0;0;0;0;7;0;0;100;90;80;60;40,2;10,6;1,7;7,3;4,6;15;5,0;95,0;Critical;18,6;Low;ftp.scattercreek.com;7470271;SCATTER CREEK LTD;TenKal Company;TenKal Company;Tenino;WA;scattercreek.com;Approximately;Private;I do not have enough information to determine if TenKal Company (scattercreek.com) has been acquired. The search results discuss acquisitions related to companies named Twinkle, Tweak India, and MRL Industries, but none refer to TenKal Company based in Tenino, WA.;$1 million - $10 million;1910;NA;Interexchange Carrier (IXC);Steve Hanson
